Line Item,Description,Amount (ZAR),Basis / Notes
Year 1 — Licence & Implementation,Platform licence and full project delivery — design SAP/CRM integration security testing training and go-live,391500.00,One-time (Year 1)
Year 2 onwards — Annual Maintenance,Annual subscription / licence — application support compliance monitoring regulatory updates and preventative maintenance,105225.00,Per annum from Year 2

Assumptions,,
Currency,All amounts in ZAR unless otherwise stated,
Year 1,Includes licence and implementation as a single investment,
Year 2+,Annual maintenance / subscription fee applies for each subsequent year,
Volume baseline,~400 invoices per month (subject to confirmation with BWE),
Validity,190 business days from RFQ submission date,
